Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,-16,1.4318370819091797,10.0
Sum of contribution of events ≤ t,-16,0.17256975173950195,10.0
Sum of contribution of events > t,-17,1.4821040630340576,10.0
Sum of contribution of events ≤ t,-17,0.12230277061462402,10.0
Sum of contribution of events > t,-18,1.5457737445831299,10.0
Sum of contribution of events ≤ t,-18,0.05863308906555176,10.0
Sum of contribution of events > t,-19,1.6044068336486816,10.0
Sum of contribution of events ≤ t,-19,0.0,10.0
Sum of contribution of events > t,0,0.0,11.0
Sum of contribution of events ≤ t,0,1.55641508102417,11.0
Sum of contribution of events > t,-1,0.08298444747924805,11.0
Sum of contribution of events ≤ t,-1,1.4734306335449219,11.0
Sum of contribution of events > t,-2,0.43002963066101074,11.0
Sum of contribution of events ≤ t,-2,1.1263854503631592,11.0
Sum of contribution of events > t,-3,0.6220681667327881,11.0
Sum of contribution of events ≤ t,-3,0.9343469142913818,11.0
Sum of contribution of events > t,-4,0.7492835521697998,11.0
Sum of contribution of events ≤ t,-4,0.8071315288543701,11.0
Sum of contribution of events > t,-5,0.8300530910491943,11.0
Sum of contribution of events ≤ t,-5,0.7263619899749756,11.0
Sum of contribution of events > t,-6,0.8979318141937256,11.0
Sum of contribution of events ≤ t,-6,0.6584832668304443,11.0
Sum of contribution of events > t,-7,0.9626643657684326,11.0
Sum of contribution of events ≤ t,-7,0.5937507152557373,11.0
Sum of contribution of events > t,-8,1.0130069255828857,11.0
Sum of contribution of events ≤ t,-8,0.5434081554412842,11.0
Sum of contribution of events > t,-9,1.0631163120269775,11.0
Sum of contribution of events ≤ t,-9,0.4932987689971924,11.0
Sum of contribution of events > t,-10,1.1123101711273193,11.0
Sum of contribution of events ≤ t,-10,0.4441049098968506,11.0
Sum of contribution of events > t,-11,1.1602962017059326,11.0
Sum of contribution of events ≤ t,-11,0.3961188793182373,11.0
Sum of contribution of events > t,-12,1.206287145614624,11.0
Sum of contribution of events ≤ t,-12,0.3501279354095459,11.0
Sum of contribution of events > t,-13,1.2566750049591064,11.0
Sum of contribution of events ≤ t,-13,0.2997400760650635,11.0
Sum of contribution of events > t,-14,1.3040225505828857,11.0
Sum of contribution of events ≤ t,-14,0.2523925304412842,11.0
Sum of contribution of events > t,-15,1.3373446464538574,11.0
Sum of contribution of events ≤ t,-15,0.2190704345703125,11.0
Sum of contribution of events > t,-16,1.374962329864502,11.0
